sampleid,x,y
778,330,1
779,360,1
780,284,1
781,511,1
782,887,1
783,424,1
784,1014,0
785,905,1
786,45,1
787,860,1
788,842,1
789,457,1
790,435,1
791,718,1
792,871,1
793,255,1
794,696,1
795,414,1
796,396,1
797,228,1
798,714,1
799,926,1
800,446,1
801,707,1
802,127,1
803,599,1
804,88,1
805,145,1
806,595,1
807,846,1
808,828,1
809,907,1
810,266,1
811,641,1
812,617,1
813,865,1
814,317,1
815,700,1
816,914,1
817,698,1
818,170,1
819,659,1
820,767,1
821,414,1
822,681,1
823,801,1
824,801,1
825,457,1
826,979,1
827,355,1
828,163,1
829,265,1
830,68,1
831,763,1
832,413,1
833,44,1
834,540,1
835,64,1
836,579,1
837,281,1
838,698,1
839,693,1
840,85,1
841,548,1
842,509,1
843,768,1
844,904,1
845,735,1
846,955,1
847,962,1
848,612,1
849,159,1
850,54,1
851,147,1
852,785,1
853,882,1
854,806,1
855,417,1
856,808,1
857,720,1
858,261,1
859,551,1
860,420,1
861,646,1
862,729,1
863,60,1
864,770,1
865,312,1
866,538,1
867,16,1
868,800,1
869,801,1
870,1022,0
871,1021,0
872,225,1
873,579,1
874,507,1
875,357,1
876,429,1
877,103,1
878,810,1
879,269,1
880,953,1
881,463,1
882,402,1
883,1002,0
884,965,1
885,776,1
886,272,1
887,485,1
888,578,1
889,505,1
890,452,1
891,1017,0
892,254,1
893,923,1
894,886,1
895,801,1
896,650,1
897,137,1
898,881,1
899,3,1
900,811,1
901,616,1
902,529,1
903,910,1
904,110,1
905,50,1
906,672,1
907,808,1
908,473,1
909,673,1
910,874,1
911,208,1
912,381,1
913,353,1
914,654,1
915,884,1
916,338,1
917,629,1
918,623,1
919,721,1
920,74,1
921,265,1
922,590,1
923,991,1
924,970,1
925,292,1
926,714,1
927,922,1
928,708,1
929,409,1
930,611,1
931,925,1
932,961,1
933,786,1
934,120,1
935,163,1
936,1022,0
937,165,1
938,148,1
939,642,1
940,907,1
941,413,1
942,725,1
943,920,1
944,423,1
945,350,1
946,278,1
947,276,1
948,1003,0
949,991,1
950,71,1
951,82,1
952,57,1
953,821,1
954,616,1
955,220,1
956,380,1
957,794,1
958,795,1
959,234,1
960,367,1
961,866,1
962,274,1
963,184,1
964,139,1
965,159,1
966,822,1
967,748,1
968,893,1
969,784,1
970,979,1
971,356,1
972,901,1
973,1024,0
974,128,1
975,992,1
976,199,1
977,661,1
978,668,1
979,127,1
980,879,1
981,995,1
982,833,1
983,349,1
984,299,1
985,434,1
986,864,1
987,551,1
988,781,1
989,438,1
990,748,1
991,991,1
992,816,1
993,172,1
994,714,1
995,139,1
996,526,1
997,789,1
998,521,1
999,919,1
1000,773,1
1001,276,1
1002,827,1
1003,503,1
1004,23,1
1005,636,1
1006,106,1
1007,307,1
1008,385,1
1009,333,1
1010,662,1
1011,615,1
1012,683,1
1013,175,1
1014,360,1
1015,439,1
1016,984,1
1017,487,1
1018,110,1
1019,872,1
1020,308,1
1021,947,1
1022,980,1
1023,947,1
1024,421,1
1025,21,1
1026,706,1
1027,501,1
1028,551,1
1029,911,1
1030,1015,0
1031,472,1
1032,302,1
1033,27,1
1034,928,1
1035,604,1
1036,836,1
1037,133,1
1038,483,1
1039,874,1
1040,364,1
1041,391,1
1042,886,1
1043,990,1
1044,526,1
1045,480,1
1046,719,1
1047,909,1
1048,313,1
1049,413,1
1050,879,1
1051,553,1
1052,991,1
1053,536,1
1054,117,1
1055,528,1
1056,500,1
1057,492,1
1058,156,1
1059,392,1
1060,409,1
1061,761,1
1062,374,1
1063,159,1
1064,29,1
1065,166,1
1066,483,1
1067,388,1
1068,755,1
1069,690,1
1070,43,1
1071,603,1
1072,18,1
1073,72,1
1074,332,1
1075,710,1
1076,216,1
1077,364,1
1078,561,1
1079,965,1
1080,219,1
1081,563,1
1082,595,1
1083,880,1
1084,968,1
1085,393,1
1086,362,1
1087,544,1
1088,466,1
1089,36,1
1090,683,1
1091,551,1
1092,110,1
1093,95,1
1094,60,1
1095,133,1
1096,693,1
1097,228,1
1098,459,1
1099,430,1
1100,255,1
1101,525,1
1102,492,1
1103,440,1
1104,776,1
1105,579,1
1106,568,1
1107,938,1
1108,920,1
1109,656,1
1110,123,1
1111,569,1
1112,1007,0
1113,960,1
1114,422,1
1115,571,1
1116,981,1
1117,207,1
1118,214,1
1119,729,1
1120,263,1
1121,220,1
1122,676,1
1123,964,1
1124,129,1
1125,634,1
1126,697,1
1127,931,1
1128,17,1
1129,250,1
1130,859,1
1131,817,1
1132,850,1
1133,973,1
1134,661,1
1135,218,1
1136,761,1
1137,194,1
1138,515,1
1139,289,1
1140,98,1
1141,116,1
1142,275,1
1143,205,1
1144,690,1
1145,221,1
1146,327,1
1147,938,1
1148,441,1
1149,424,1
1150,729,1
1151,363,1
1152,70,1
1153,105,1
1154,813,1
1155,826,1
1156,170,1
1157,42,1
1158,322,1
1159,785,1
1160,169,1
1161,335,1
1162,683,1
1163,799,1
1164,109,1
1165,736,1
1166,306,1
1167,654,1
1168,540,1
1169,760,1
1170,448,1
1171,213,1
1172,226,1
1173,60,1
1174,299,1
1175,56,1
1176,589,1
1177,21,1
1178,671,1
1179,301,1
1180,718,1
1181,1024,0
1182,429,1
1183,66,1
1184,753,1
1185,432,1
1186,238,1
1187,39,1
1188,674,1
1189,190,1
1190,993,1
1191,868,1
1192,201,1
1193,636,1
1194,254,1
1195,506,1
1196,382,1
1197,378,1
1198,0,1
1199,729,1
1200,276,1
1201,4,1
1202,45,1
1203,271,1
1204,38,1
1205,609,1
1206,216,1
1207,480,1
1208,464,1
1209,819,1
1210,855,1
1211,378,1
1212,350,1
1213,87,1
1214,811,1
1215,719,1
1216,419,1
1217,1018,0
1218,375,1
1219,75,1
1220,780,1
1221,715,1
1222,612,1
1223,985,1
1224,419,1
1225,7,1
1226,627,1
1227,592,1
1228,515,1
1229,568,1
1230,823,1
1231,480,1
1232,620,1
1233,373,1
1234,368,1
1235,395,1
1236,413,1
1237,208,1
1238,514,1
1239,72,1
1240,229,1
1241,205,1
1242,370,1
1243,364,1
1244,348,1
1245,474,1
1246,894,1
1247,930,1
1248,273,1
1249,526,1
1250,934,1
1251,738,1
1252,313,1
1253,0,1
1254,981,1
1255,992,1
1256,880,1
1257,117,1
1258,492,1
1259,829,1
1260,136,1
1261,993,1
1262,720,1
1263,462,1
1264,389,1
1265,549,1
1266,978,1
1267,972,1
1268,829,1
1269,294,1
1270,339,1
1271,167,1
1272,600,1
1273,626,1
1274,482,1
1275,722,1
1276,3,1
1277,641,1
1278,211,1
1279,680,1
1280,238,1
1281,367,1
1282,496,1
1283,342,1
1284,546,1
1285,1,1
1286,769,1
1287,270,1
1288,54,1
1289,10,1
1290,167,1
1291,773,1
1292,385,1
1293,743,1
1294,107,1
1295,65,1
1296,404,1
1297,984,1
1298,298,1
1299,782,1
1300,972,1
1301,657,1
1302,534,1
1303,910,1
1304,486,1
1305,442,1
1306,671,1
1307,1011,0
1308,799,1
1309,686,1
1310,889,1
1311,276,1
1312,22,1
1313,148,1
1314,661,1
1315,274,1
1316,506,1
1317,652,1
1318,300,1
1319,653,1
1320,108,1
1321,940,1
1322,456,1
1323,608,1
1324,759,1
1325,89,1
1326,199,1
1327,741,1
1328,669,1
1329,721,1
1330,38,1
1331,993,1
1332,979,1
1333,130,1
1334,358,1
1335,465,1
1336,262,1
1337,579,1
1338,303,1
1339,726,1
1340,381,1
1341,394,1
1342,379,1
1343,490,1
1344,420,1
1345,548,1
1346,502,1
1347,493,1
1348,87,1
1349,211,1
1350,633,1
1351,263,1
1352,633,1
1353,183,1
1354,481,1
1355,135,1
1356,853,1
1357,165,1
1358,943,1
1359,338,1
1360,710,1
1361,388,1
1362,191,1
1363,894,1
1364,116,1
1365,163,1
1366,889,1
1367,965,1
1368,65,1
1369,604,1
1370,659,1
1371,844,1
1372,652,1
1373,670,1
1374,149,1
1375,673,1
1376,704,1
1377,377,1
1378,313,1
1379,694,1
1380,909,1
1381,590,1
1382,291,1
1383,394,1
1384,786,1
1385,52,1
1386,822,1
1387,928,1
1388,625,1
1389,859,1
1390,190,1
1391,483,1
1392,101,1
1393,115,1
1394,43,1
1395,97,1
1396,258,1
1397,753,1
1398,996,1
1399,44,1
1400,178,1
1401,832,1
1402,502,1
1403,354,1
1404,255,1
1405,81,1
1406,392,1
1407,35,1
1408,52,1
1409,489,1
1410,829,1
1411,786,1
1412,845,1
1413,219,1
1414,875,1
1415,142,1
1416,226,1
1417,96,1
1418,572,1
1419,507,1
1420,205,1
1421,937,1
1422,534,1
1423,581,1
1424,180,1
1425,843,1
1426,55,1
1427,969,1
1428,837,1
1429,431,1
1430,615,1
1431,637,1
1432,249,1
1433,541,1
1434,811,1
1435,157,1
1436,289,1
1437,1017,0
1438,913,1
1439,834,1
1440,314,1
1441,415,1
1442,647,1
1443,694,1
1444,949,1
1445,830,1
1446,871,1
1447,142,1
1448,307,1
1449,953,1
1450,888,1
1451,682,1
1452,194,1
1453,204,1
1454,933,1
1455,50,1
1456,424,1
1457,875,1
1458,352,1
1459,674,1
1460,413,1
1461,572,1
1462,640,1
1463,321,1
1464,784,1
1465,350,1
1466,633,1
1467,918,1
1468,427,1
1469,292,1
1470,413,1
1471,862,1
1472,643,1
1473,671,1
1474,108,1
1475,808,1
1476,903,1
1477,358,1
1478,812,1
1479,606,1
1480,254,1
1481,968,1
1482,421,1
1483,331,1
1484,669,1
1485,685,1
1486,92,1
1487,723,1
1488,865,1
1489,119,1
1490,679,1
1491,138,1
1492,36,1
1493,970,1
1494,469,1
1495,516,1
1496,466,1
1497,659,1
1498,158,1
1499,250,1
1500,354,1
1501,866,1
1502,995,1
1503,331,1
1504,966,1
1505,331,1
1506,714,1
1507,585,1
1508,140,1
1509,277,1
1510,294,1
1511,452,1
1512,254,1
1513,936,1
1514,671,1
1515,695,1
1516,954,1
1517,130,1
1518,911,1
1519,166,1
1520,600,1
1521,478,1
1522,2,1
1523,847,1
1524,779,1
1525,983,1
1526,979,1
1527,573,1
1528,337,1
1529,63,1
1530,1011,0
1531,379,1
1532,588,1
1533,899,1
1534,774,1
1535,302,1
1536,685,1
1537,969,1
1538,100,1
1539,772,1
1540,704,1
1541,415,1
1542,576,1
1543,135,1
1544,533,1
1545,899,1
1546,824,1
1547,184,1
1548,535,1
1549,365,1
1550,152,1
1551,892,1
1552,665,1
1553,831,1
1554,666,1
1555,161,1
1556,476,1
1557,18,1
1558,139,1
1559,861,1
1560,561,1
1561,666,1
1562,705,1
1563,872,1
1564,323,1
1565,119,1
1566,674,1
1567,501,1
1568,353,1
1569,401,1
1570,433,1
1571,794,1
1572,565,1
1573,82,1
1574,183,1
1575,727,1
1576,62,1
1577,320,1
1578,479,1
1579,453,1
1580,40,1
1581,809,1
1582,260,1
1583,28,1
1584,624,1
1585,592,1
1586,321,1
1587,280,1
1588,51,1
1589,921,1
1590,453,1
1591,100,1
1592,638,1
1593,170,1
1594,368,1
1595,772,1
1596,911,1
1597,962,1
1598,755,1
1599,203,1
1600,311,1
1601,218,1
1602,844,1
1603,391,1
1604,997,1
1605,703,1
1606,36,1
1607,536,1
1608,679,1
1609,131,1
1610,679,1
1611,417,1
1612,185,1
1613,915,1
1614,959,1
1615,790,1
1616,603,1
1617,943,1
1618,755,1
1619,638,1
1620,620,1
1621,864,1
1622,101,1
1623,605,1
1624,270,1
1625,200,1
1626,28,1
1627,459,1
1628,259,1
1629,193,1
1630,991,1
1631,12,1
1632,635,1
1633,511,1
1634,295,1
1635,258,1
1636,536,1
1637,230,1
1638,520,1
1639,694,1
1640,489,1
1641,457,1
1642,850,1
1643,407,1
1644,375,1
1645,295,1
1646,593,1
1647,691,1
1648,796,1
1649,111,1
1650,717,1
1651,91,1
1652,987,1
1653,420,1
1654,617,1
1655,830,1
1656,661,1
1657,149,1
1658,312,1
1659,991,1
1660,269,1
1661,170,1
1662,569,1
1663,704,1
1664,103,1
1665,395,1
1666,457,1
1667,164,1
1668,524,1
1669,423,1
1670,1011,0
1671,923,1
1672,396,1
1673,18,1
1674,64,1
1675,640,1
1676,902,1
1677,866,1
1678,717,1
1679,489,1
1680,395,1
1681,535,1
1682,97,1
1683,548,1
1684,210,1
1685,962,1
1686,59,1
1687,760,1
1688,978,1
1689,26,1
1690,233,1
1691,730,1
1692,516,1
1693,341,1
1694,481,1
1695,341,1
1696,656,1
1697,301,1
1698,482,1
1699,370,1
1700,14,1
1701,368,1
1702,413,1
1703,426,1
1704,652,1
1705,224,1
1706,984,1
1707,452,1
1708,715,1
1709,453,1
1710,760,1
1711,41,1
1712,105,1
1713,911,1
1714,250,1
1715,127,1
1716,314,1
1717,910,1
1718,306,1
1719,390,1
1720,269,1
1721,723,1
1722,196,1
1723,42,1
1724,692,1
1725,984,1
1726,292,1
1727,151,1
1728,829,1
1729,29,1
1730,47,1
1731,814,1
1732,611,1
1733,275,1
1734,749,1
1735,777,1
1736,12,1
1737,646,1
1738,409,1
1739,866,1
1740,861,1
1741,974,1
1742,157,1
1743,440,1
1744,820,1
1745,439,1
1746,220,1
1747,41,1
1748,440,1
1749,203,1
1750,963,1
1751,355,1
1752,349,1
1753,876,1
1754,494,1
1755,898,1
1756,157,1
1757,57,1
1758,853,1
1759,991,1
1760,592,1
1761,852,1
1762,235,1
1763,616,1
1764,629,1
1765,792,1
1766,112,1
1767,356,1
1768,514,1
1769,219,1
1770,341,1
1771,619,1
1772,227,1
1773,682,1
1774,1,1
1775,986,1
1776,940,1
1777,955,1
1778,738,1
1779,877,1
1780,345,1
1781,80,1
1782,348,1
1783,386,1
1784,991,1
1785,424,1
1786,619,1
1787,379,1
1788,451,1
1789,451,1
1790,543,1
1791,940,1
1792,807,1
1793,825,1
1794,451,1
1795,256,1
1796,754,1
1797,541,1
1798,21,1
1799,599,1
1800,534,1
1801,113,1
1802,695,1
1803,626,1
1804,882,1
1805,627,1
1806,375,1
1807,444,1
1808,471,1
1809,22,1
1810,882,1
1811,266,1
1812,845,1
1813,299,1
1814,1005,0
1815,54,1
1816,748,1
1817,923,1
1818,932,1
1819,862,1
1820,256,1
1821,768,1
1822,824,1
1823,399,1
1824,731,1
1825,54,1
1826,265,1
1827,25,1
1828,232,1
1829,300,1
1830,165,1
1831,271,1
1832,461,1
1833,692,1
1834,390,1
1835,385,1
1836,638,1
1837,135,1
1838,986,1
1839,753,1
1840,412,1
1841,350,1
1842,63,1
1843,714,1
1844,763,1
1845,12,1
1846,544,1
1847,111,1
1848,928,1
1849,920,1
1850,414,1
1851,134,1
1852,567,1
1853,397,1
1854,737,1
1855,705,1
1856,482,1
1857,297,1
1858,305,1
1859,331,1
1860,10,1
1861,574,1
1862,690,1
1863,1019,0
1864,944,1
1865,831,1
1866,84,1
1867,663,1
1868,455,1
1869,337,1
1870,472,1
1871,829,1
1872,474,1
1873,199,1
1874,886,1
1875,497,1
1876,104,1
1877,426,1
1878,606,1
1879,168,1
1880,179,1
1881,448,1
1882,251,1
1883,177,1
1884,226,1
1885,562,1
1886,1005,0
1887,751,1
1888,649,1
1889,474,1
1890,240,1
1891,902,1
1892,725,1
1893,324,1
1894,814,1
1895,948,1
1896,528,1
1897,83,1
1898,363,1
1899,537,1
1900,965,1
1901,98,1
1902,399,1
1903,371,1
1904,83,1
1905,284,1
1906,212,1
1907,3,1
1908,146,1
1909,520,1
1910,15,1
1911,861,1
1912,738,1
1913,385,1
1914,345,1
1915,269,1
1916,18,1
1917,541,1
1918,317,1
1919,733,1
1920,97,1
1921,977,1
1922,133,1
1923,589,1
1924,115,1
1925,795,1
1926,135,1
1927,973,1
1928,957,1
1929,168,1
1930,141,1
1931,122,1
1932,744,1
1933,399,1
1934,348,1
1935,362,1
1936,488,1
1937,676,1
1938,109,1
1939,787,1
1940,124,1
1941,920,1
1942,474,1
1943,701,1
1944,949,1
1945,548,1
1946,778,1
1947,9,1
1948,40,1
1949,440,1
1950,825,1
1951,649,1
1952,69,1
1953,681,1
1954,533,1
1955,172,1
1956,598,1
1957,764,1
1958,394,1
1959,474,1
1960,517,1
1961,759,1
1962,164,1
1963,313,1
1964,824,1
1965,112,1
1966,55,1
1967,891,1
1968,614,1
1969,295,1
1970,221,1
1971,588,1
1972,362,1
1973,626,1
1974,235,1
1975,92,1
1976,725,1
1977,583,1
1978,116,1
1979,799,1
1980,819,1
1981,295,1
1982,414,1
1983,1004,0
1984,26,1
1985,79,1
1986,41,1
1987,873,1
1988,600,1
1989,170,1
1990,635,1
1991,937,1
1992,729,1
1993,268,1
1994,533,1
1995,278,1
1996,59,1
1997,399,1
1998,486,1
1999,238,1
2000,685,1
2001,724,1
2002,1001,0
2003,532,1
2004,457,1
2005,675,1
2006,734,1
2007,744,1
2008,758,1
2009,371,1
2010,446,1
2011,687,1
2012,367,1
2013,200,1
2014,945,1
2015,459,1
2016,299,1
2017,253,1
2018,537,1
2019,5,1
2020,361,1
2021,365,1
2022,928,1
2023,642,1
2024,95,1
2025,816,1
2026,719,1
2027,675,1
2028,890,1
2029,611,1
2030,774,1
2031,191,1
2032,753,1
2033,342,1
2034,284,1
2035,20,1
2036,89,1
2037,236,1
2038,686,1
2039,298,1
2040,910,1
2041,318,1
2042,500,1
2043,67,1
2044,280,1
2045,662,1
2046,78,1
2047,614,1
2048,303,1
2049,778,1
2050,258,1
2051,767,1
2052,258,1
2053,772,1
2054,436,1
2055,436,1
2056,805,1
2057,340,1
2058,112,1
2059,223,1
2060,18,1
2061,559,1
2062,274,1
2063,620,1
2064,894,1
2065,829,1
2066,774,1
2067,850,1
2068,474,1
2069,786,1
2070,758,1
2071,955,1
2072,352,1
2073,1021,0
2074,253,1
2075,971,1
2076,551,1
2077,325,1
2078,18,1
2079,230,1
2080,47,1
2081,147,1
2082,68,1
2083,298,1
2084,144,1
2085,207,1
2086,335,1
2087,545,1
2088,807,1
2089,94,1
2090,664,1
2091,217,1
2092,882,1
2093,671,1
2094,443,1
2095,487,1
2096,82,1
2097,657,1
2098,402,1
2099,333,1
2100,819,1
2101,893,1
2102,595,1
2103,287,1
2104,522,1
2105,515,1
2106,654,1
2107,734,1
2108,533,1
2109,731,1
2110,508,1
2111,66,1
2112,876,1
2113,14,1
2114,294,1
2115,528,1
2116,55,1
2117,620,1
2118,880,1
2119,368,1
2120,656,1
2121,13,1
2122,613,1
2123,272,1
2124,765,1
2125,505,1
2126,904,1
2127,876,1
2128,618,1
2129,177,1
2130,548,1
2131,593,1
2132,826,1
2133,144,1
2134,417,1
